,MI_Score
F1968,0.0035325094896919706
F847,0.0035175631649019268
F266,0.0035151157509865083
F3001,0.003498952869810501
F3107,0.0034934694679292777
F2784,0.0034891599865063405
F2184,0.0034747543394607616
F1754,0.003469723832841276
F3538,0.0034656098771052024
F1969,0.0034605294777670936
F1928,0.003435114747582846
F2388,0.003427779379441387
F30,0.0034262956550394907
F1276,0.003412930646374268
F1963,0.0034112144904733244
F3833,0.0034092873923703415
F2450,0.003402035121599978
F2685,0.00339032662318417
F1533,0.003390104060242538
F994,0.003383391781173195
F3493,0.003377246987319449
F1081,0.003376044541059109
F3642,0.003375608177855205
F1425,0.003373938147847033
F3834,0.003372220960073724
F1423,0.0033713764751661657
F3607,0.0033483471430719725
F1680,0.0033306651426023848
F952,0.0033288939236411075
F3055,0.0033176132179710827
F3622,0.0033125700257488067
F2691,0.003311156463699172
F3543,0.0033101297316120437
F26,0.003293853440476835
F3692,0.0032929008453552733
F1209,0.003279058209719743
F2288,0.003274805075622944
F1321,0.0032709956055985145
F1965,0.003269366267777296
F1045,0.0032646539401764985
F3899,0.0032575870921148775
F2289,0.0032443881747039605
F3517,0.003244012231202409
F1068,0.0032308786877205398
F116,0.0032261835070478417
F1062,0.0032216630997810025
F1380,0.003220426059079129
F1061,0.0032028711731353354
F1846,0.003194811404087061
F229,0.0031896044936809975
F2453,0.003188204527455718
F64,0.003186324333336432
F1102,0.0031840437754316886
F217,0.0031815312240938143
F2351,0.0031760965994218626
F2637,0.003174874246837156
F3804,0.003169881444951894
F1920,0.0031671055010428217
F1708,0.0031617563325413434
F3105,0.003160971266582435
F572,0.0031511865796165495
F1283,0.003146086802824022
F2074,0.003136332167585132
F1284,0.0031244182976769563
F2140,0.0031214681332633054
F1278,0.0031184184816445137
F1971,0.0031166481281746927
F2847,0.0031153197377769004
F1570,0.0030994049415662417
F3064,0.0030836293229311584
F2892,0.003083173346923207
F2071,0.003082154221101585
F736,0.003077756846321167
F2134,0.0030759534962837565
F1211,0.0030667269031187105
F1168,0.003064716908386722
